Tên,Giá,RAM,SSD,Rating,Đã bán
Asus TUF Gaming A15 FA506NCR R7 7435HS (HN097W),19.990.000₫,RAM 16 GB,SSD 512 GB,4.9,381
Asus Zenbook 14 OLED UX3405MA Ultra 7 155H (PP152W),31.990.000₫,RAM 32 GB,SSD 1 TB,5,502
Acer Swift Lite 14 AI SFL14 51M 56HS Ultra 5 125U (NX.J1HSV.002),18.990.000₫,RAM 16 GB,SSD 512 GB,5,152
MSI Gaming GF63 Thin 12UC i7 12650H (887VN),18.690.000₫,RAM 8 GB,SSD 512 GB,5,"1,1k"
MSI Gaming Sword 16 HX B14VFKG i7 14700HX (045VN),37.690.000₫,RAM 16 GB,SSD 1 TB,4.9,153
Lenovo ThinkBook 14 G7 Ultra 7 155U (21MR0070VN),28.890.000₫,RAM 32 GB,SSD 1 TB,5,19
HP Elitebook 630 G10 i7 1355U (9H1N9PT),24.690.000₫,RAM 16 GB,SSD 512 GB,4.9,189
HP Probook 450 G10 i5 1335U (873D1PA),19.690.000₫,RAM 16 GB,SSD 512 GB,5,311
Lenovo Gaming Legion 5 16IRX9 i7 14650HX (83DG0051VN),40.690.000₫,RAM 16 GB,SSD 1 TB,5,55
Dell Vostro 15 3520 i5 1235U (5M2TT2),14.490.000₫,RAM 8 GB,SSD 512 GB,4.9,"2,3k"
Dell Inspiron 15 3520 i5 1235U (i5U085W11BLU),14.490.000₫,RAM 8 GB,SSD 512 GB,4.9,"4,3k"
HP Envy X360 14 fa0050AU R5 8640HS (A29H8PA),26.590.000₫,RAM 16 GB,SSD 512 GB,5,193
Asus Vivobook 16 A1607CA Ultra 5 225H (MB038WS),20.990.000₫,RAM 16 GB,SSD 512 GB,5,9
Lenovo LOQ 15IRX9 i5 13450HX (83DV003CVN),22.690.000₫,RAM 16 GB,SSD 512 GB,N/A,N/A
Acer Aspire 5 A515 58M 56YX i5 13420H (NX.KQ8SV.005),15.690.000₫,RAM 16 GB,SSD 512 GB,4.9,"1,2k"
Acer Gaming Nitro V ANV15 51 53NE i5 13420H (NH.QNASV.002),20.690.000₫,RAM 16 GB,SSD 512 GB,5,741
HP Gaming VICTUS 16 r0130TX i5 13500H (8C5N5PA),23.690.000₫,RAM 16 GB,SSD 512 GB,4.9,345
Lenovo Legion 5 15IRX9 i7 13650HX (83JJ000FVN),35.690.000₫,RAM 24 GB,SSD 512 GB,5,4
MSI Gaming Stealth 14 AI Studio A1VFG Ultra 7 155H (085VN),50.690.000₫,RAM 32 GB,SSD 1 TB,5,18
HP Elitebook 630 G10 i7 1355U (873F2PA),24.190.000₫,RAM 16 GB,SSD 512 GB,5,326
MSI Prestige 14 AI Studio C1VEG Ultra 7 155H (056VN),33.690.000₫,RAM 32 GB,SSD 1 TB,5,33
Lenovo V15 G4 IRU i5 1335U (83A1000LVN),14.990.000₫,RAM 16 GB,SSD 512 GB,4.9,424
Lenovo ThinkBook 16 G6 i5 13420H (21KH00Q0VN),19.090.000₫,RAM 16 GB,SSD 512 GB,5,92
Dell Inspiron 16 5640 Core 7 150U (N5640-C7U161W11IBU),25.990.000₫,RAM 16 GB,SSD 1 TB,5,571
HP Gaming VICTUS 16 s0077AX R7 7840HS (8C5N6PA),28.990.000₫,RAM 16 GB,SSD 512 GB,5,403
Asus Zenbook 14 OLED UM3406KA R7 AI 350 (PP555WS),29.490.000₫,RAM 32 GB,SSD 512 GB,5,19
Asus TUF Gaming F15 FX507ZC4 i5 12500H (HN229W),21.690.000₫,RAM 16 GB,SSD 1 TB,4.9,"2,7k"
Acer Gaming Nitro 5 Tiger AN515 58 769J i7 12700H (NH.QFHSV.003),20.690.000₫,RAM 8 GB,SSD 512 GB,4.9,"2,1k"
Lenovo Ideapad Slim 5 14IMH9 Ultra 7 155H (83DA001YVN),27.190.000₫,RAM 32 GB,SSD 512 GB,5,76
Acer Gaming Nitro V ANV15 51 55CA i5 13420H (NH.QN8SV.004),24.790.000₫,RAM 16 GB,SSD 512 GB,5,347
MSI Gaming GF63 Thin 12VE i5 12450H (460VN),18.690.000₫,RAM 8 GB,SSD 512 GB,4.9,973
HP Gaming VICTUS 16 s0078AX R5 7640HS (8C5N7PA),22.690.000₫,RAM 16 GB,SSD 512 GB,5,156
MSI Gaming Cyborg 14 A13VE i7 13620H (090VN),27.190.000₫,RAM 16 GB,SSD 512 GB,5,76
Lenovo IdeaPad Slim 5 14IMH9 Ultra 5 125H (83DA001NVN),22.690.000₫,RAM 16 GB,SSD 512 GB,5,161
Lenovo Yoga Pro 7 14IMH9 Ultra 7 155H (83E2005DVN),46.990.000₫,RAM 32 GB,SSD 1 TB,5,3
Lenovo V14 Core 5 120U (83HD0001VN),18.290.000₫,RAM 16 GB,SSD 512 GB,5,39
Dell Inspiron 15 3530 i7 1355U (N5I7301W1),21.490.000₫,RAM 16 GB,SSD 512 GB,5,922
Dell Inspiron 16 5640 Core 7 150U (KHPF5),27.990.000₫,RAM 16 GB,SSD 1 TB,5,271
Dell Inspiron 14 5440 Core 7 150U (N4I7204W1),24.990.000₫,RAM 16 GB,SSD 512 GB,5,567
Asus TUF Gaming A15 FA507NVR R7 7435HS (LP007W),26.990.000₫,RAM 16 GB,SSD 512 GB,5,182
Lenovo IdeaPad Slim 5 OLED 14IRH10 i5 13420H (83HR005YVN),21.190.000₫,RAM 16 GB,SSD 1 TB,N/A,N/A
HP Envy x360 14 fc0094TU Ultra 5 125U (A19C4PA),26.190.000₫,RAM 16 GB,SSD 512 GB,5,428
Acer Aspire 16 AI A16 71M 71U7 Ultra 7 155H (NX.J4YSV.002),21.690.000₫,RAM 16 GB,SSD 512 GB,5,31
Acer Aspire 5 A514 54 5127 i5 1135G7 (NX.A28SV.007),13.590.000₫,RAM 8 GB,SSD 512 GB,4.9,"1,3k"
MSI Prestige 14 AI Studio C1UDXG Ultra 7 155H (058VN),27.690.000₫,RAM 16 GB,SSD 1 TB,5,26
